  מרחבים  ישראל,  21 ,  66 ,  -   ,  57 ,  123 ,"  2,368,338 ",  -   ,"  4,863,951 ","  7,232,289 ",34.957951,32.466184,"  35,934 ","  22,818 ","  85,477 "
  רמת נגב  ישראל,  20 ,  -   ,  -   ,  118 ,  118 ,  -   ,  -   ,"  10,053,946 ","  10,053,946 ",34.876729,32.061295,"  35,934 ","  22,818 ","  85,477 "
  לב השרון  ישראל,  7 ,  -   ,  -   ,  114 ,  114 ,  -   ,  -   ,"  9,722,017 ","  9,722,017 ",34.9451498,32.2736042,"  35,934 ","  22,818 ","  85,477 "
  נשר  ישראל,  268 ,  -   ,  -   ,  109 ,  109 ,  -   ,  -   ,"  9,354,190 ","  9,354,190 ",35.049191,32.7649,"  35,934 ","  22,818 ","  85,477 "
  מודיעין-מכבים-רעות  ישראל,  375 ,  -   ,  -   ,  104 ,  104 ,  -   ,  -   ,"  8,874,497 ","  8,874,497 ",35.010397,31.890267,"  35,934 ","  22,818 ","  85,477 "
  פרדס חנה - כרכור  ישראל,  410 ,  34 ,  -   ,  68 ,  102 ,"  1,228,279 ",  -   ,"  5,816,810 ","  7,045,088 ",34.9742001,32.4728028,"  35,934 ","  22,818 ","  85,477 "
  עמק הירדן  ישראל,  167 ,  8 ,  -   ,  92 ,  100 ,"  299,043 ",  -   ,"  7,878,071 ","  8,177,114 ",35.5548422,32.7268078,"  35,934 ","  22,818 ","  85,477 "
  לוד  ישראל,  376 ,  22 ,  -   ,  78 ,  99 ,"  779,536 ",  -   ,"  6,639,507 ","  7,419,043 ",34.888075,31.951014,"  35,934 ","  22,818 ","  85,477 "
  נס ציונה  ישראל,  372 ,  1 ,  -   ,  95 ,  95 ,"  28,330 ",  -   ,"  8,093,344 ","  8,121,675 ",34.801327,31.932111,"  35,934 ","  22,818 ","  85,477 "
  דימונה  ישראל,  203 ,  51 ,  -   ,  44 ,  95 ,"  1,836,443 ",  -   ,"  3,738,782 ","  5,575,225 ",35.033363,31.069419,"  35,934 ","  22,818 ","  85,477 "
  עכו  ישראל,  54 ,  26 ,  -   ,  67 ,  93 ,"  926,956 ",  -   ,"  5,725,494 ","  6,652,450 ",35.082678,32.933052,"  35,934 ","  22,818 ","  85,477 "
  שער הנגב  ישראל,  18 ,  -   ,  -   ,  92 ,  92 ,  -   ,  -   ,"  7,867,136 ","  7,867,136 ",34.6303372,31.50772569999999,"  35,934 ","  22,818 ","  85,477 "
  אום אל-פחם  ישראל,  304 ,  -   ,  -   ,  91 ,  91 ,  -   ,  -   ,"  7,808,128 ","  7,808,128 ",35.148529,32.517127,"  35,934 ","  22,818 ","  85,477 "
  רמת חובב  ישראל,  221 ,  90 ,  -   ,  0 ,  90 ,"  3,231,721 ",  -   ,"  18,157 ","  3,249,878 ",35.1876387,31.7739276,"  35,934 ","  22,818 ","  85,477 "
  קרית מוצקין  ישראל,  275 ,  -   ,  -   ,  89 ,  89 ,  -   ,  -   ,"  7,639,500 ","  7,639,500 ",35.079523,32.838202,"  35,934 ","  22,818 ","  85,477 "
  יקנעם עילית  ישראל,  100 ,  14 ,  -   ,  73 ,  87 ,"  490,852 ",  -   ,"  6,267,096 ","  6,757,948 ",35.104606,32.660225,"  35,934 ","  22,818 ","  85,477 "
  טייבה  ישראל,  386 ,  -   ,  -   ,  85 ,  85 ,  -   ,  -   ,"  7,268,107 ","  7,268,107 ",35.009675,32.266892,"  35,934 ","  22,818 ","  85,477 "
  נצרת  ישראל,  28 ,  -   ,  -   ,  84 ,  84 ,  -   ,  -   ,"  7,160,979 ","  7,160,979 ",35.303546,32.699635,"  35,934 ","  22,818 ","  85,477 "
  מבואות החרמון  ישראל,  124 ,  -   ,  -   ,  81 ,  81 ,  -   ,  -   ,"  6,937,975 ","  6,937,975 ",35.5548422,33.0614193,"  35,934 ","  22,818 ","  85,477 "
  אשכול  ישראל,  197 ,  -   ,  -   ,  79 ,  79 ,  -   ,  -   ,"  6,727,953 ","  6,727,953 ",34.983526,31.493764,"  35,934 ","  22,818 ","  85,477 "
  ערד  ישראל,  2 ,  54 ,  -   ,  22 ,  75 ,"  1,928,039 ",  -   ,"  1,858,987 ","  3,787,026 ",35.214862,31.261447,"  35,934 ","  22,818 ","  85,477 "
  ראש העין  ישראל,  362 ,  -   ,  -   ,  74 ,  74 ,  -   ,  -   ,"  6,293,095 ","  6,293,095 ",34.952177,32.095838,"  35,934 ","  22,818 ","  85,477 "
  נחל שורק  ישראל,  373 ,  -   ,  -   ,  73 ,  73 ,  -   ,  -   ,"  6,276,655 ","  6,276,655 ",34.9921788,31.7156744,"  35,934 ","  22,818 ","  85,477 "
  חצור הגלילית  ישראל,  92 ,  73 ,  -   ,  0 ,  73 ,"  2,629,598 ",  -   ,"  7,574 ","  2,637,171 ",35.543548,32.980382,"  35,934 ","  22,818 ","  85,477 "
  צפת  ישראל,  175 ,  20 ,  -   ,  53 ,  73 ,"  714,660 ",  -   ,"  4,558,280 ","  5,272,940 ",35.495997,32.964648,"  35,934 ","  22,818 ","  85,477 "
  מעלה יוסף  ישראל,  140 ,  -   ,  -   ,  73 ,  73 ,  -   ,  -   ,"  6,236,494 ","  6,236,494 ",35.2697802,33.0557003,"  35,934 ","  22,818 ","  85,477 "
  נהריה  ישראל,  152 ,  14 ,  -   ,  58 ,  72 ,"  506,349 ",  -   ,"  4,975,076 ","  5,481,425 ",35.0980514,33.0085361,"  35,934 ","  22,818 ","  85,477 "
  שדות נגב  ישראל,  19 ,  0 ,  -   ,  65 ,  66 ,"  6,296 ",  -   ,"  5,588,968 ","  5,595,264 ",34.5417619,31.4144482,"  35,934 ","  22,818 ","  85,477 "
  אזור  ישראל,  347 ,  7 ,  -   ,  58 ,  65 ,"  240,938 ",  -   ,"  4,943,814 ","  5,184,752 ",34.799648,32.029558,"  35,934 ","  22,818 ","  85,477 "
  אור יהודה  ישראל,  348 ,  7 ,  -   ,  53 ,  60 ,"  261,713 ",  -   ,"  4,534,655 ","  4,796,368 ",34.85617300000001,32.029748,"  35,934 ","  22,818 ","  85,477 "
  טבריה  ישראל,  93 ,  -   ,  -   ,  53 ,  53 ,  -   ,  -   ,"  4,570,124 ","  4,570,124 ",35.530973,32.795859,"  35,934 ","  22,818 ","  85,477 "
  גדרה  ישראל,  429 ,  -   ,  -   ,  52 ,  52 ,  -   ,  -   ,"  4,472,297 ","  4,472,297 ",34.77701920000001,31.8123014,"  35,934 ","  22,818 ","  85,477 "
  קרית שמונה  ישראל,  177 ,  24 ,  -   ,  28 ,  52 ,"  863,300 ",  -   ,"  2,374,130 ","  3,237,431 ",35.570246,33.207933,"  35,934 ","  22,818 ","  85,477 "
  מג'ד אל-כרום  ישראל,  279 ,  -   ,  -   ,  51 ,  51 ,  -   ,  -   ,"  4,389,136 ","  4,389,136 ",35.25665,32.920132,"  35,934 ","  22,818 ","  85,477 "
