 id,city,address, תעשייה , ייצור חשמל , תחבורה ," סה""כ ", עלות - תעשייה , עלות ייצור חשמל , עלות - תחבורה ," סה""כ ",lng,lat, מקדם תעשייה , מקדם חשמל , מקדם תחבורה 
  373 , נחל שורק ,,  -   ,  -   ,  73 ,  73 ,  -   ,  -   ,"  6,276,655 ","  6,276,655 ",,,"  35,934 ","  22,818 ","  85,477 "
  92 , חצור הגלילית ,,  73 ,  -   ,  0 ,  73 ,"  2,629,598 ",  -   ,"  7,574 ","  2,637,171 ",,,"  35,934 ","  22,818 ","  85,477 "
  175 , צפת ,,  20 ,  -   ,  53 ,  73 ,"  714,660 ",  -   ,"  4,558,280 ","  5,272,940 ",,,"  35,934 ","  22,818 ","  85,477 "
  140 , מעלה יוסף ,,  -   ,  -   ,  73 ,  73 ,  -   ,  -   ,"  6,236,494 ","  6,236,494 ",,,"  35,934 ","  22,818 ","  85,477 "
  152 , נהריה ,,  14 ,  -   ,  58 ,  72 ,"  506,349 ",  -   ,"  4,975,076 ","  5,481,425 ",,,"  35,934 ","  22,818 ","  85,477 "
  19 , שדות נגב ,,  0 ,  -   ,  65 ,  66 ,"  6,296 ",  -   ,"  5,588,968 ","  5,595,264 ",,,"  35,934 ","  22,818 ","  85,477 "
  347 , אזור ,,  7 ,  -   ,  58 ,  65 ,"  240,938 ",  -   ,"  4,943,814 ","  5,184,752 ",,,"  35,934 ","  22,818 ","  85,477 "
  348 , אור יהודה ,,  7 ,  -   ,  53 ,  60 ,"  261,713 ",  -   ,"  4,534,655 ","  4,796,368 ",,,"  35,934 ","  22,818 ","  85,477 "
  93 , טבריה ,,  -   ,  -   ,  53 ,  53 ,  -   ,  -   ,"  4,570,124 ","  4,570,124 ",,,"  35,934 ","  22,818 ","  85,477 "
  429 , גדרה ,,  -   ,  -   ,  52 ,  52 ,  -   ,  -   ,"  4,472,297 ","  4,472,297 ",,,"  35,934 ","  22,818 ","  85,477 "
  177 , קרית שמונה ,,  24 ,  -   ,  28 ,  52 ,"  863,300 ",  -   ,"  2,374,130 ","  3,237,431 ",,,"  35,934 ","  22,818 ","  85,477 "
  279 , מג'ד אל-כרום ,,  -   ,  -   ,  51 ,  51 ,  -   ,  -   ,"  4,389,136 ","  4,389,136 ",,,"  35,934 ","  22,818 ","  85,477 "
  298 , בנימינה - גבעת עדה ,,  1 ,  -   ,  50 ,  51 ,"  31,478 ",  -   ,"  4,292,958 ","  4,324,436 ",,,"  35,934 ","  22,818 ","  85,477 "
